,Result: # Ballots,Result: Median OP,Result: Received OP,Meta: Project Name,Funding: Governance Fund,Funding: Other,Funding: Partner Fund,Funding: RPGF1,Funding: RPGF2,Funding: Revenue,OSO: # GitHub Repos,OSO: Date First Commit,OSO: Total Stars,OSO: Total Forks,OSO: Total Contributors,OSO: Contributors Last 6 Months,OSO: Avg Monthly Active Devs Last 6 Months,OSO: # OP Contracts,OSO: Date First Txn,OSO: Total Onchain Users,OSO: Onchain Users Last 6 Months,OSO: Total Txns,OSO: Total Txn Fees (ETH),OSO: Txn Fees Last 6 Months (ETH),OSO: # NPM Packages,OSO: Date First Download,OSO: Total Downloads,OSO: Downloads Last 6 Months,OSO: Has Profile
53,51,105000.0,104348.25,Aerodrome Finance,0,0,0,0,0,0,1.0,2023-04-15,,,8.0,8.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
54,46,100500.0,99876.18,Kwenta,0,0,0,0,0,1,22.0,2020-08-18,116.0,132.0,106.0,32.0,6.5,42.0,2022-02-27,131345.0,10010.0,549808.0,16.12604643257164,16.051195221974428,0.0,,,,1
56,72,100000.0,99379.28,Vectorized,0,0,0,0,1,0,1.0,2022-07-16,1695.0,219.0,60.0,30.0,1.0,0.0,,0.0,0.0,,,,1.0,2022-07-16,71386.0,46793.0,1
57,70,100000.0,99379.28,CryptoZombies,0,0,0,0,1,0,3.0,2017-12-07,2192.0,1032.0,450.0,9.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
58,67,100000.0,99379.28,Kernel,0,0,0,0,1,0,16.0,2019-01-19,71.0,48.0,146.0,7.0,0.6666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
60,63,100000.0,99379.28,ApeWorX LTD,0,0,0,0,0,0,3.0,2021-01-05,733.0,106.0,97.0,30.0,1.0,1.0,2023-08-18,3.0,3.0,18.0,5.405776970141701e-05,5.405776970141701e-05,0.0,,,,1
62,61,100000.0,99379.28,Ronan Sandford,0,0,0,1,1,0,5.0,2020-03-24,1092.0,244.0,282.0,30.0,0.8333333333333334,0.0,,0.0,0.0,,,,1.0,2020-10-20,4696990.0,1770833.0,1
63,61,100000.0,99379.28,P256Verifier,0,0,0,0,0,0,2.0,2023-02-27,,,9.0,8.0,1.6666666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
64,60,100000.0,99379.28,EthernautDAO,0,1,0,1,1,0,12.0,2021-07-15,138.0,23.0,30.0,2.0,1.5,0.0,,0.0,0.0,,,,0.0,,,,1
65,60,100000.0,99379.28,Gitcoin Passport,0,0,0,0,0,1,102.0,2015-10-16,1743.0,875.0,1827.0,100.0,14.333333333333334,24.0,2022-08-02,52741.0,52609.0,153972.0,1.129179158568379,1.1290630601747034,0.0,,,,1
66,59,100000.0,99379.28,ZORA,1,0,1,1,1,1,73.0,2009-11-30,363.0,75.0,884.0,38.0,5.5,4.0,2023-05-10,2614.0,2614.0,4663.0,0.1028874368049046,0.1028874368049046,0.0,,,,1
68,57,100000.0,99379.28,Waffle,0,1,0,0,0,0,1.0,2018-08-23,,,206.0,7.0,0.0,0.0,,0.0,0.0,,,,1.0,2018-08-03,8736143.0,2118959.0,1
69,56,100000.0,99379.28,The Ethernaut,0,0,0,0,0,0,2.0,2017-11-16,1720.0,616.0,224.0,12.0,0.5,0.0,,0.0,0.0,,,,0.0,,,,1
70,55,100000.0,99379.28,Synpress,0,0,0,0,1,0,1.0,2020-11-18,467.0,135.0,149.0,30.0,1.3333333333333333,0.0,,0.0,0.0,,,,1.0,2020-11-19,479561.0,231016.0,1
71,54,100000.0,99379.28,Cannon,1,0,0,0,1,0,1.0,2022-02-15,66.0,11.0,24.0,20.0,3.8333333333333335,0.0,,0.0,0.0,,,,3.0,2022-03-16,92677.0,32803.0,1
72,54,100000.0,99379.28,Synthetix,1,0,0,0,0,0,125.0,2015-10-26,1121.0,597.0,540.0,67.0,12.666666666666666,859.0,2021-11-23,50524.0,6271.0,1579032.0,12.688653189911312,11.958351858232472,0.0,,,,1
74,50,100000.0,99379.28,Fe,0,0,0,0,0,0,1.0,2019-09-12,,,63.0,9.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
78,45,100000.0,99379.28,Yearn,1,0,0,0,0,0,126.0,2018-10-19,504.0,311.0,553.0,61.0,6.5,72.0,2022-08-06,31836.0,31810.0,140958.0,0.5214906119841206,0.5214433891762872,0.0,,,,1
79,44,100000.0,99379.28,Velodrome,1,0,1,0,0,0,8.0,2022-04-25,43.0,79.0,24.0,6.0,0.6666666666666666,990.0,2022-06-01,481851.0,164609.0,10677385.0,30.62382128360101,28.936408862942987,0.0,,,,1
80,44,100000.0,99379.28,Optimistic Indexer,0,0,0,0,0,0,6.0,2021-07-09,18.0,1.0,10.0,4.0,0.0,77.0,2022-03-30,76566.0,8536.0,383452.0,0.5897189326480222,0.5094756013490473,0.0,,,,1
81,44,100000.0,99379.28,Blocknative | Web3 Onboard,0,0,0,0,0,0,21.0,2018-07-02,699.0,416.0,477.0,90.0,2.5,0.0,,0.0,0.0,,,,0.0,,,,1
82,43,100000.0,99379.28,Candide,1,1,0,0,1,0,15.0,2020-03-12,,7.0,18.0,6.0,2.0,0.0,,0.0,0.0,,,,1.0,2023-07-29,1055.0,1055.0,1
84,42,100000.0,99379.28,EthereumETL,0,1,0,0,1,0,1.0,2018-05-02,2689.0,771.0,223.0,17.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
86,41,100000.0,99379.28,UseDApp,0,0,0,0,0,0,1.0,2020-12-18,,,310.0,18.0,0.0,0.0,,0.0,0.0,,,,1.0,2021-02-11,826703.0,138862.0,1
89,40,100000.0,99379.28,Lyra Finance,1,0,0,0,0,0,18.0,2021-05-26,95.0,49.0,34.0,7.0,0.3333333333333333,265.0,2021-12-13,63000.0,4543.0,633538.0,6.526009582511942,5.978241804675453,0.0,,,,1
93,36,100000.0,99379.28,Secureum,0,1,0,0,0,0,1.0,2022-02-19,,,4.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
94,33,100000.0,99379.28,Wallet Abstraction,0,0,0,0,0,0,1.0,2023-09-23,,,3.0,3.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
99,44,95000.0,94410.32,WhatsABI,0,1,0,0,0,0,1.0,2022-09-20,,,15.0,6.0,0.6666666666666666,0.0,,0.0,0.0,,,,1.0,2022-09-27,37194.0,30402.0,1
100,73,93235.0,92656.28,Prettier Solidity,0,0,0,1,1,0,3.0,2018-05-15,694.0,74.0,114.0,11.0,0.8333333333333334,0.0,,0.0,0.0,,,,1.0,2018-10-10,8211027.0,2056714.0,1
101,53,93235.0,92656.28,Funding the Commons,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,0
102,56,92743.5,92167.83,Splits,0,1,0,0,1,0,15.0,2022-01-04,144.0,28.0,35.0,12.0,1.5,4.0,2022-10-05,303.0,231.0,832.0,0.0033040265350499,0.0032822369021164,2.0,2022-07-26,80334.0,49175.0,1
105,43,90000.0,89441.36,Conduit,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
106,43,90000.0,89441.36,draper,0,0,0,0,0,0,6.0,2023-01-20,,,51.0,47.0,2.833333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
107,47,85846.0,85313.14,Galxe,1,0,0,0,0,0,12.0,2021-09-14,93.0,,34.0,9.0,0.3333333333333333,7.0,2022-07-18,673820.0,198370.0,6036135.0,7.106064335502894,6.677842451470443,0.0,,,,1
108,47,85000.0,84472.39,PatrickAlphaC,0,1,0,0,0,1,1.0,2023-04-28,,,48.0,48.0,0.6666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
109,38,82743.5,82229.9,ETHSafari 2023,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
112,36,82500.0,81987.91,Sonne Finance ,1,0,0,0,0,0,3.0,2022-09-12,,,4.0,3.0,0.0,55.0,2022-09-25,35406.0,16941.0,664353.0,2.264382311745893,2.154664236864901,0.0,,,,1
114,39,80000.0,79503.43,Hats Protocol,0,1,0,0,0,0,31.0,2022-04-27,,,19.0,11.0,2.1666666666666665,1.0,2023-07-11,42.0,42.0,275.0,0.0772967504074044,0.0772967504074044,3.0,2023-07-04,2880.0,2880.0,1
116,39,78000.0,77515.84,Alloy,0,0,0,0,0,0,7.0,2021-09-11,,,53.0,41.0,1.6666666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
117,74,76923.0,76445.53,Tenderly,0,0,0,0,0,1,36.0,2013-12-26,,,654.0,137.0,6.166666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
121,64,76923.0,76445.53,Gelato,1,0,0,0,1,0,114.0,2019-06-17,233.0,37.0,102.0,23.0,2.5,8.0,2022-01-21,4113.0,3530.0,515121.0,1.9349344198365923,1.8864701186387527,0.0,,,,1
124,55,76923.0,76445.53,ethOS,0,1,0,0,0,0,33.0,2012-01-02,,,185.0,5.0,0.5,0.0,,0.0,0.0,,,,0.0,,,,1
126,49,76923.0,76445.53,Endaoment,0,1,0,0,0,1,8.0,2020-02-14,,,15.0,4.0,0.0,2.0,2023-10-17,3.0,3.0,56.0,0.0003158504077018,0.0003158504077018,0.0,,,,1
127,46,76923.0,76445.53,Socket ,1,0,0,0,0,0,23.0,2021-07-05,30.0,3.0,33.0,19.0,4.666666666666667,95.0,2022-02-08,268364.0,226935.0,1422556.0,4.961774678828445,4.930118688629306,1.0,2022-10-31,35157.0,24896.0,1
128,46,76923.0,76445.53,AW House/Komorebi's Hacker House,1,0,0,0,0,0,1.0,2023-06-20,,,3.0,3.0,1.3333333333333333,1.0,2023-10-08,6.0,6.0,65.0,0.0240379112433529,0.0240379112433529,0.0,,,,1
130,48,75961.5,75490.0,ERC4337 Smart Accounts Dune Dashboard,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
131,59,75000.0,74534.46,Alchemy,0,0,0,0,0,1,4.0,2023-01-31,,,50.0,49.0,2.5,0.0,,0.0,0.0,,,,0.0,,,,1
132,55,75000.0,74534.46,roll-op,1,0,0,0,0,0,1.0,2023-06-16,50.0,11.0,9.0,9.0,0.6666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
133,52,75000.0,74534.46,BrightID,0,1,0,1,0,0,34.0,2017-09-13,212.0,5.0,112.0,16.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
134,48,75000.0,74534.46,Umbra,0,1,0,0,1,0,1.0,2020-05-01,310.0,77.0,28.0,8.0,0.1666666666666666,2.0,2021-12-04,26547.0,12905.0,136578.0,0.0981390660037566,0.0953255255004937,0.0,,,,1
135,45,75000.0,74534.46,Pyth Network,1,0,0,0,0,0,28.0,2018-02-14,122.0,65.0,547.0,32.0,4.166666666666667,4.0,2022-09-09,11.0,7.0,969.0,0.004360991747456,0.004349520739874,0.0,,,,1
136,44,75000.0,74534.46,JiffyScan,1,0,0,0,1,0,7.0,2022-12-02,14.0,10.0,20.0,10.0,1.5,0.0,,0.0,0.0,,,,0.0,,,,1
137,42,75000.0,74534.46,Clave (formerly Opclave),0,0,0,0,0,0,35.0,2021-03-22,258.0,70.0,34.0,13.0,2.5,0.0,,0.0,0.0,,,,0.0,,,,1
138,40,75000.0,74534.46,The Red Guild,0,0,0,0,0,0,4.0,2023-03-29,,,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
141,30,75000.0,74534.46,Forum,0,0,0,0,0,0,2.0,2022-11-03,,,2.0,2.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
142,24,75000.0,74534.46,Crust Network,0,0,0,0,0,0,46.0,2019-11-13,,,352.0,44.0,1.1666666666666667,1.0,2023-06-25,3.0,3.0,6.0,0.0006401815225882,0.0006401815225882,0.0,,,,1
143,49,73710.07,73252.54,Paco Bytes,1,0,0,0,0,0,1.0,2016-10-18,33.0,,635.0,8.0,1.1666666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
144,36,72964.0,72511.1,Impersonator,0,0,0,0,0,0,3.0,2021-08-21,209.0,41.0,15.0,4.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
147,49,70000.0,69565.5,Commons Stack,1,1,0,0,1,1,26.0,2019-03-15,,,108.0,7.0,1.1666666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
149,58,67500.0,67081.02,Edge & Node / The Graph,0,1,0,0,0,0,25.0,2021-01-19,,,31.0,11.0,1.1666666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
150,34,66558.5,66145.36,Hardhat Tracer,0,1,0,0,0,0,1.0,2022-04-12,,,20.0,9.0,0.3333333333333333,0.0,,0.0,0.0,,,,1.0,2021-02-20,587804.0,194285.0,1
151,32,65995.5,65585.86,Bware Labs,0,0,0,0,1,0,17.0,2021-04-21,,,20.0,4.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
153,28,65995.5,65585.86,PR0,1,1,0,0,1,0,6.0,2021-06-22,,1.0,3.0,1.0,0.1666666666666666,1.0,2023-05-23,3.0,3.0,17.0,0.0002682180366552,0.0002682180366552,0.0,,,,1
154,45,65000.0,64596.53,Superscan,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
156,36,65000.0,64596.53,Holonym,0,0,0,0,0,1,28.0,2022-02-19,3.0,4.0,13.0,5.0,1.0,11.0,2022-12-18,5637.0,5637.0,48863.0,3.296838903199558,3.296633944811221,0.0,,,,1
157,28,63731.0,63335.41,Velocimeter,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,0
159,34,62500.0,62112.05,Upnode Deploy | OP Stack Deployment UI,1,0,0,0,0,0,20.0,2019-01-23,2.0,,133.0,34.0,2.333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
162,49,62157.0,61771.18,Pocket Network,0,0,0,0,1,0,63.0,2017-05-01,,,135.0,41.0,6.5,0.0,,0.0,0.0,,,,0.0,,,,1
164,75,60000.0,59627.57,Week in Ethereum News,0,0,0,0,1,0,3.0,2021-06-01,2.0,,1.0,1.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
166,56,60000.0,59627.57,Token Engineering Commons,0,1,0,0,0,0,37.0,2020-10-21,10.0,11.0,97.0,8.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
168,40,60000.0,59627.57,Lore,0,0,0,0,0,0,1.0,2023-02-08,,,3.0,1.0,0.0,2.0,2023-10-17,3.0,3.0,9.0,0.0001081544666976,0.0001081544666976,0.0,,,,1
171,26,59041.0,58674.52,Public Goods Grant Management,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0
172,36,58495.5,58132.41,abi-to-sol,1,0,0,0,0,0,1.0,2020-10-05,,,12.0,4.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
173,40,57575.5,57218.12,Wonderland,0,0,0,0,1,0,10.0,2021-06-15,,,24.0,10.0,0.6666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
174,24,57500.0,57143.09,Index Supply,0,1,0,0,0,0,2.0,2022-10-12,,,7.0,4.0,0.8333333333333334,0.0,,0.0,0.0,,,,0.0,,,,1
175,35,56991.0,56637.25,Decent.xyz,0,0,0,0,0,1,14.0,2021-05-13,,,18.0,4.0,0.3333333333333333,15.0,2022-10-06,162.0,124.0,405.0,0.0030790396956972,0.0030187556945972,0.0,,,,1
176,24,56388.5,56038.49,LlamaFolio,0,0,0,0,1,0,6.0,2022-06-27,105.0,22.0,16.0,7.0,2.6666666666666665,0.0,,0.0,0.0,,,,0.0,,,,1
179,39,55000.0,54658.61,Moonwell,0,0,0,0,0,0,9.0,2022-02-26,,,21.0,12.0,1.5,0.0,,0.0,0.0,,,,0.0,,,,1
180,38,54387.0,54049.41,Jessy's Hacker House,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
181,58,53085.5,52755.99,RadicalxChange Foundation,0,0,0,0,1,0,14.0,2014-07-28,37.0,12.0,78.0,4.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
182,38,52500.0,52174.12,Arbiter,0,1,0,0,0,0,3.0,2022-11-17,,,29.0,21.0,3.5,0.0,,0.0,0.0,,,,0.0,,,,1
184,30,51231.0,50913.0,Equalizer,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
185,37,50777.0,50461.82,TechNERD Program,1,0,0,0,0,0,1.0,2022-11-06,18.0,10.0,5.0,1.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
188,51,50000.0,49689.64,wslyvh,0,1,0,0,0,0,3.0,2021-09-18,2.0,1.0,96.0,15.0,2.333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
189,50,50000.0,49689.64,Delegate,0,0,0,0,0,0,4.0,2022-08-06,,,23.0,8.0,0.5,2.0,2023-01-03,1842.0,750.0,2487.0,0.0026664090429056,0.0023888775837464,0.0,,,,1
191,50,50000.0,49689.64,Hop DAO,1,0,0,0,0,0,23.0,2020-10-19,2792.0,210.0,206.0,14.0,3.1666666666666665,39.0,2021-11-12,69907.0,13332.0,602981.0,0.2795516335895402,0.2392130001627045,0.0,,,,1
194,49,50000.0,49689.64,🐍 snekmate,0,0,0,0,1,0,1.0,2022-07-30,424.0,,17.0,9.0,1.0,0.0,,0.0,0.0,,,,0.0,,,,1
196,47,50000.0,49689.64,⚡️ TurboETH,0,1,0,0,1,0,18.0,2022-06-19,241.0,63.0,31.0,19.0,1.6666666666666667,0.0,,0.0,0.0,,,,1.0,2023-06-22,1755.0,1755.0,1
200,44,50000.0,49689.64,DAC on OP Stack,0,0,0,0,0,0,5.0,2021-08-05,,,44.0,22.0,3.8333333333333335,0.0,,0.0,0.0,,,,0.0,,,,1
201,44,50000.0,49689.64,LearnWeb3,0,1,0,0,0,0,79.0,2021-12-13,167.0,93.0,225.0,10.0,0.6666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
202,43,50000.0,49689.64,WTF Academy,0,0,0,0,1,0,31.0,2022-07-23,2137.0,360.0,241.0,46.0,2.833333333333333,1.0,2023-07-30,1.0,1.0,3.0,2.875826773e-09,2.875826773e-09,0.0,,,,1
204,41,50000.0,49689.64,cryo,0,0,0,0,0,0,1.0,2023-06-18,,,26.0,26.0,0.8333333333333334,0.0,,0.0,0.0,,,,0.0,,,,1
206,41,50000.0,49689.64,ETHBarcelona,0,1,0,0,0,0,2.0,2023-04-02,,,2.0,2.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
208,40,50000.0,49689.64,Node Guardians,0,0,0,0,0,0,5.0,2022-06-30,36.0,30.0,24.0,10.0,0.5,0.0,,0.0,0.0,,,,0.0,,,,1
211,39,50000.0,49689.64,Covalent,0,0,0,0,0,0,16.0,2013-12-26,,,135.0,58.0,2.1666666666666665,0.0,,0.0,0.0,,,,0.0,,,,1
212,39,50000.0,49689.64,Sphinx (formerly ChugSplash),0,0,0,0,1,0,1.0,2022-07-13,185.0,,10.0,6.0,2.0,0.0,,0.0,0.0,,,,1.0,2023-07-30,2298.0,2298.0,1
213,39,50000.0,49689.64,Ponder,0,1,0,0,0,1,1.0,2023-03-13,,,1.0,1.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
215,36,50000.0,49689.64,Giveth Web3 House,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
216,36,50000.0,49689.64,Greg's Farcaster Projects,0,1,0,0,0,0,1.0,2022-06-12,,,10.0,5.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
217,35,50000.0,49689.64,Odos,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0
220,35,50000.0,49689.64,EZKL,0,1,0,0,0,0,9.0,2022-07-05,602.0,71.0,45.0,26.0,2.6666666666666665,0.0,,0.0,0.0,,,,0.0,,,,1
223,33,50000.0,49689.64,Public Assembly ,0,0,0,0,0,1,29.0,2022-09-03,26.0,6.0,21.0,9.0,2.333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
225,33,50000.0,49689.64,Synapse DAO,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,0
